serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
123456,Assigned,SSD,classified
456789,Assigned,HDD,classified
789456,Overdue,HDD,classified
123456,Assigned,SSD,classified
9WM03PYK,Assigned,HDD,classified
WCAWZ0064571,Assigned,HDD,classified
1.00E+11,Assigned,SSD,classified
G2E000214,Assigned,HDD,classified
7H137673A,Assigned,HDD,classified
1ABC2DEF345678G,Assigned,HDD,classified
KUT4-RAG1,Assigned,HDD,classified
000000-1234,Assigned,SSD,classified
1G2600102219,Assigned,SSD,classified
X0XX234XYXYX,Assigned,SSD,classified
78161328,Assigned,SSD,classified
YA27655E,Assigned,HDD,classified
CXL337CE,Assigned,HDD,classified
37561001258d20102,Assigned,SSD,classified
145120615593EHB,Assigned,HDD,classified
APM00120701240,Assigned,HDD,classified
TR2131600860,Assigned,SSD,classified
1029120,Assigned,SSD,classified
2348779,Assigned,SSD,classified
5673873,Assigned,SSD,classified
12348912,Assigned,SSD,classified
329490,Assigned,SSD,classified
9132870,Assigned,SSD,classified
383455,Assigned,SSD,classified
2304832,Assigned,SSD,classified
2349048A,Assigned,HDD,classified
13984023,Assigned,SSD,classified
1.80E+11,Assigned,SSD,classified
34985CF,Assigned,HDD,classified
1304892,Assigned,SSD,classified
123456,delinquent,SSD,classified
456789,delinquent,HDD,classified
789456,delinquent,HDD,classified
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
123456,Assigned,SSD,classified
456789,Assigned,HDD,classified
123456,Assigned,SSD,classified
9WM03PYK,Assigned,HDD,classified
WCAWZ0064571,Assigned,HDD,classified
1.00E+11,Assigned,SSD,classified
G2E000214,Assigned,HDD,classified
7H137673A,Assigned,HDD,classified
1ABC2DEF345678G,Assigned,HDD,classified
KUT4-RAG1,Assigned,HDD,classified
000000-1234,Assigned,SSD,classified
1G2600102219,Assigned,SSD,classified
X0XX234XYXYX,Assigned,SSD,classified
78161328,Assigned,SSD,classified
YA27655E,Assigned,HDD,classified
CXL337CE,Assigned,HDD,classified
37561001258d20102,Assigned,SSD,classified
145120615593EHB,Assigned,HDD,classified
APM00120701240,Assigned,HDD,classified
TR2131600860,Assigned,SSD,classified
1029120,Assigned,SSD,classified
2348779,Assigned,SSD,classified
5673873,Assigned,SSD,classified
12348912,Assigned,SSD,classified
329490,Assigned,SSD,classified
9132870,Assigned,SSD,classified
383455,Assigned,SSD,classified
2304832,Assigned,SSD,classified
2349048A,Assigned,HDD,classified
13984023,Assigned,SSD,classified
1.80E+11,Assigned,SSD,classified
34985CF,Assigned,HDD,classified
1304892,Assigned,SSD,classified
serial_number,status,type,classifcation
123456,Assigned,SSD,classified
456789,Assigned,HDD,classified
123456,Assigned,SSD,classified
9WM03PYK,Assigned,HDD,classified
WCAWZ0064571,Assigned,HDD,classified
1.00E+11,Assigned,SSD,classified
G2E000214,Assigned,HDD,classified
7H137673A,Assigned,HDD,classified
1ABC2DEF345678G,Assigned,HDD,classified
KUT4-RAG1,Assigned,HDD,classified
000000-1234,Assigned,SSD,classified
1G2600102219,Assigned,SSD,classified
X0XX234XYXYX,Assigned,SSD,classified
78161328,Assigned,SSD,classified
YA27655E,Assigned,HDD,classified
CXL337CE,Assigned,HDD,classified
37561001258d20102,Assigned,SSD,classified
145120615593EHB,Assigned,HDD,classified
APM00120701240,Assigned,HDD,classified
TR2131600860,Assigned,SSD,classified
1029120,Assigned,SSD,classified
2348779,Assigned,SSD,classified
5673873,Assigned,SSD,classified
12348912,Assigned,SSD,classified
329490,Assigned,SSD,classified
9132870,Assigned,SSD,classified
383455,Assigned,SSD,classified
2304832,Assigned,SSD,classified
2349048A,Assigned,HDD,classified
13984023,Assigned,SSD,classified
1.80E+11,Assigned,SSD,classified
34985CF,Assigned,HDD,classified
1304892,Assigned,SSD,classified
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
serial_number,status,type,classifcation
